"MA_PARAMETER_ID","MA_PARAMETER_NAME","MA_PARAMETER_DESC","MA_PARAMETER_KEY","MA_PARAMETER_VALUE","MA_PARAMETER_DEFAULT_VALUE","ALLOW_DELETE_FLAG","HOSPITAL_SOID","IS_DEL","CREATED_AT","MODIFIED_AT","CREATED_BY","MODIFIED_BY"
"452549311579385856","A5合并使用的插件","","A5_COMBINE_PLUGIN_NAME","spirePDF","","0","11","0","2025/9/5 13:24:55","2026/1/8 18:47:05","4300118337","469304215224281088"
"342865420321648640","A5合并功能版本","","A5_COMBINE_VERSION","","","0","11","0","2024/1/23 9:45:54","2024/4/30 20:59:00","4300118337","4300118337"
"276814997324052481","医生病案首页-ABO血型、Rh来源","医生病案首页-ABO血型、Rh来源：0 患者域(默认) 1 医技报告","ABO_RH_SOURCE","0","0","0","11","0","2023/2/1 10:07:09","2024/11/26 19:39:52","4300118337","4300118337"
"391477414955937792","【病案统计】工作日志60病房陪护人数对应的项目费用标识","病房或病区工作日志使用全60时，陪护人数从费用接口获取对应的标识来统计
","ACCOMPANY_COST_IDS","","","0","11","0","2024/10/11 9:44:38","2025/9/16 14:07:11","4300118337","4300118337"
"370046619070590976","【无纸化】新增患者文件字典文件","1 开启 0 不开启","ADD_ENCOUNTER_DICTIONAY_FILE","1","0","0","11","0","2024/6/17 21:39:46","2024/6/19 15:41:13","4300118337","4300118337"
"249576299700434944","启用省市县地址拆分","是否启用省市县地址拆分 0：不启用 1：启用","ADDRESS_SPLITTING_FLAG","1","1","0","11","0","2022/9/7 14:47:02","2024/4/30 20:59:00","4300118337","4300118337"
"464054899752660992","入院诊断显示方式","入院诊断显示方式：0表单（默认）、1入院诊断列表","ADMITTED_DIAGNOSIS_LIST_FLAG","0","0","0","11","0","2025/11/6 13:40:02","2025/11/11 19:21:12","4300118337","4300118337"
"388192082802077697","入院情况字段上游同步来源","入院情况字段上游同步来源  0不同步  1患者域  2病历文书","ADMITTED_SEVERITY_GRADE_SOURCE","1","1","0","11","0","2024/9/23 16:47:06","2024/9/23 16:47:06","4300118337","4300118337"
"265505970476562432","首页录入时，年龄（天）不足1天算法","0 按0天算   1 按1天算，参数值默认1，即按1天算","AGE_DAYS_WITHIN_YEAR","1","1","0","11","0","2022/12/2 11:17:33","2026/5/7 10:15:05","4300118337","466338359917766656"
"378019059771994112","【首页质控、首页录入】年龄不满一周岁（月）描述特殊参数控制显示内容","0/null: 默认标准方式显示 1：按如下详细解读显示","AGE_MONTHS_DESC_FLAG","1","0","0","11","0","2024/7/30 20:54:03","2026/3/13 14:40:06","4300118337","467611248637863937"
"389291708246487041","对接第三方医生站首页提交接口年龄是否替换为病案自己计算开关","对接第三方医生站首页提交接口年龄是否替换为病案自己计算开关，0不替换，1替换(默认)，不替换则以接口中传的值为准","AGE_REPLACE_FLAG","0","1","0","11","0","2024/9/29 15:01:19","2026/3/13 14:54:49","4300118337","467611248637863937"
"348619856159535104","","","AGING_DISPLAY_CONFIG","1#1","","0","11","0","2024/2/23 10:06:12","2026/1/27 15:10:16","4300118337","466339663440340992"
"481150074329067520","AI质控GPT结果解析失败后重新调用次数","格式：retryNum:3,retryInterval:5  说明：retryNum:重试次数(0~5)，retryInterval:重试间隔时间(1~60)，单位秒","AI_QC_GPT_RETRY_PARAM","retryNum:3,retryInterval:5","retryNum:3,retryInterval:5","0","11","0","2026/2/6 16:56:04","2026/2/9 13:09:18","467611248637863937","467611248637863937"
"466884323275534336","【AI质控】抽查任务JOB补偿执行小时数","0未开启，其他正整数为补偿历史未执行任务的小时数","AI_QC_JOB_LIMIT_HOUR","72","0","0","11","0","2025/11/21 19:39:16","2025/12/11 14:03:00","4300118337","466338782972045313"
"465568263691661312","【AI质控】抽查任务最大患者数","【AI质控】抽查任务最大患者数","AI_QC_LIMIT_MAHP_NUM","200","200","0","11","0","2025/11/14 17:25:17","2025/11/14 17:25:17","4300118337","4300118337"
"488175672310198272","【AI质控】病案质控对接第三方AI大模型类型","0 不开启 1 厦门弘爱","AI_QC_MODEL_TYPE","0","0","0","11","0","2026/3/16 13:41:53","2026/3/16 13:41:53","466338782972045313","466338782972045313"
"488185625896906753","【AI质控】病案质控对接厦门弘爱AI大模型URL","病案质控对接厦门弘爱AI大模型URL","AI_QC_XMHA_MODEL_URL","https://msc-test.cndcare.com/api/unified-billing-center-api/medicalQc/invoke","https://msc-test.cndcare.com/api/unified-billing-center-api/medicalQc/invoke","0","11","0","2026/3/16 14:59:07","2026/3/16 14:59:07","466338782972045313","466338782972045313"
"488181075379056641","【AI质控】病案质控对接厦门弘爱AI大模型获取token的authorization","病案质控对接厦门弘爱AI大模型获取token的authorization","AI_QC_XMHA_TOKEN_AUTHORIZATION","Basic bWVkaWNhbC1xdWFsaXR5LWNvbnRyb2w6NzNjYmE4NDAtNGEzZC00NTMwLWI0N2ItMGYyMTdlMGEzNTA4","Basic bWVkaWNhbC1xdWFsaXR5LWNvbnRyb2w6NzNjYmE4NDAtNGEzZC00NTMwLWI0N2ItMGYyMTdlMGEzNTA4","0","11","0","2026/3/16 14:23:48","2026/3/16 14:23:48","466338782972045313","466338782972045313"
"488176771821826048","【AI质控】病案质控对接厦门弘爱AI大模型获取token地址","病案质控对接厦门弘爱AI大模型获取token地址","AI_QC_XMHA_TOKEN_URL","https://msc-test.cndcare.com/api/oauth/token?grant_type=client_credentials","","0","11","0","2026/3/16 13:50:24","2026/3/16 13:50:24","466338782972045313","466338782972045313"
"451809722505981952","ai质控规则日志开关","0打开 1关闭","AI_RULE_LOG_SWITCH","0","1","0","11","0","2025/9/1 13:44:58","2026/4/7 19:41:40","4300118337","466338782972045313"
"472599793022627841","AI智能编码打印日志开关","0关闭 1打开","AICODING_PRINT_LOG_SWITCH","0","0","0","11","0","2025/12/22 14:57:09","2025/12/22 14:57:09","467611248637863937","467611248637863937"
"407656228194971648","阿里云授权时效间隔(oss)","","ALI_YUN_STS_CREDENTIALS_DURATIONSECONDS","","","0","11","0","2025/1/6 14:28:44","2025/1/6 14:28:44","4300118337","4300118337"
"371843062156587008","是否开启阿里云临时授权标识(oss)","是否开启阿里云临时授权标识：1-表示开启，0-表示不开启","ALI_YUN_STS_CREDENTIALS_FLAG","0","0","0","11","0","2024/6/27 14:01:59","2025/1/6 14:12:00","4300118337","4300118337"
"240506774027778049","打印模板诊断列表动态换行数设置","参数填写整数；该数字和打印模板换行数匹配；为0时，不换行。需要换行时，填写模板行数，从该行后开始换行。","ALL_DIAGNOSISLIST_NEW_LINE_NUM","","","0","11","0","2022/7/20 17:38:14","2024/4/30 20:59:00","4300118337","4300118337"
"303768047410231297","【首页费用重导】不平费用是否允许重新导入病案库","不平费用是否允许重新导入病案库，默认不允许导入，0：否 1：是","ALLOW_IMPORT_DELEVING_COST_FLAG","0","0","0","11","0","2023/6/26 16:30:21","2024/4/30 20:59:00","4300118337","4300118337"
"449776832880406528","【无纸化】ftp、sftp、第三方api超时设置","ftp、sftp、第三方api超时设置，参数格式为json，{""ftp"":3000}","API_TIMEOUT_SET_JSON_KEY","{""ftp"":3000}","","0","11","0","2025/8/21 14:47:39","2025/8/21 14:47:53","4300118337","4300118337"
"336423493363658753","【首页录入】是否录入保存时调取无纸化归档接口归档","是否录入保存时调取无纸化归档接口归档：0.否,1.WINEX无纸化归档接口 2.电子病历5x归档接口","ARCHIVE_PL_MAIN","0","0","0","11","0","2023/12/19 16:29:57","2024/4/30 20:59:00","4300118337","4300118337"
